epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,805.253,2.47487,3.72802,1.82202,0.46841,0.09587,0.17645,0.0665,2.30991,3.3031,1.72846,0.000471617,0.000471617,0.000471617
2,1782.01,2.28475,2.89192,1.69029,0.28522,0.32,0.20643,0.07097,2.40195,2.86316,1.76019,0.000929181,0.000929181,0.000929181
3,24885.3,2.30919,2.67919,1.71611,0.30544,0.27685,0.21324,0.0779,2.32905,2.71888,1.74218,0.00136788,0.00136788,0.00136788
4,25277.4,2.30334,2.54421,1.72951,0.34392,0.29319,0.25311,0.09607,2.32308,2.58493,1.81402,0.00134412,0.00134412,0.00134412
5,25572.3,2.23399,2.4215,1.67446,0.34968,0.31616,0.28393,0.11126,2.31227,2.4819,1.72803,0.00131582,0.00131582,0.00131582
6,25890.7,2.22552,2.34143,1.67717,0.34518,0.32404,0.30374,0.12764,2.21078,2.31147,1.66546,0.00128753,0.00128753,0.00128753
7,26202.6,2.19692,2.26082,1.65316,0.31715,0.281,0.25413,0.10537,2.27017,2.48638,1.81242,0.00125923,0.00125923,0.00125923
8,26511.5,2.16418,2.23641,1.642,0.4284,0.32931,0.31257,0.11926,2.25907,2.18037,1.67438,0.00123094,0.00123094,0.00123094
9,26835.2,2.12962,2.17042,1.60643,0.40586,0.36664,0.33262,0.13851,2.2279,2.25916,1.6389,0.00120265,0.00120265,0.00120265
10,27157.1,2.10152,2.12322,1.58767,0.36842,0.35203,0.3037,0.12825,2.21368,2.34002,1.66469,0.00117435,0.00117435,0.00117435
11,27463.7,2.1072,2.11231,1.59424,0.35329,0.41839,0.35629,0.14554,2.19909,2.28273,1.61816,0.00114606,0.00114606,0.00114606
12,27767.8,2.11663,2.09207,1.58951,0.40288,0.39206,0.32936,0.12183,2.25765,2.31864,1.69722,0.00111776,0.00111776,0.00111776
13,28188.6,2.05929,2.03826,1.56027,0.38967,0.43276,0.39074,0.15322,2.19918,2.15451,1.61837,0.00108947,0.00108947,0.00108947
